ChineseName,EnglishName,kind,eat,species,Description1,Description2,img
帝江,Di-Jiang,Auspicious,Dont eat human,Terrestrial,天山，有神焉，其状如黄囊，赤如丹火，六足四翼，浑敦无面目，是识歌舞，实为帝江也。,Dijiang is a legendary monster in ancient China  whose shape is like a yellow pocket  color is like a red flame  six feet and four wings  no face  and knows how to sing and dance.,dijiang.jpg
鵸鵌,Qi-Tu,Auspicious,Dont eat human,Bird,翼望之山，有鸟焉，其状如乌，三首六尾而善笑，名曰鵸鵌，服之使人不厌，又可以御凶。,There are also kinds of birds in the mountain. They look like crows. They have three heads and six tails. They often make a sound like laughter. It's called standard. After eating its meat  people won't have nightmares. They can also ward off evil spirits.,qitu.jpg
蠃魚,Luo Fish,Evil,Dont eat human,Aquatic,蠃鱼，鱼身而鸟翼，音如鸳鸯，见则其邑大水。,The fish  with its body and wings  sounds like a mandarin duck. If you see it  the city will be full of water.,luoyu.jpg
飛天夜叉,Flying Ye-Cha,Evil,Do eat human,Terrestrial,飞僵凡僵尸，久则能飞，不复藏棺中。遍身毛皆长尺馀，毵毵披垂，出入有光。又久，则成飞天夜叉，非雷击不死，惟鸟枪可毙之。,Flying ball all zombies  a long time  can fly  no longer hide in the coffin. The hair of the whole body is more than a foot long  and the hair is hanging  and there is luster in and out. After another period of time  then the success of flying the sky and the night fork  is not that the thunder can not die  only the shotgun can die.,feitianyecha.jpg
夜叉,Ye-Cha,Evil,Do eat human,Terrestrial,海之有夜叉，犹山之有山魈，非鬼非魈，乃自一种类，介乎人物之间者也。,It's a kind of devil. It's said that it often flies in the air and sucks people's flesh and blood,yecha.jpg
鰼鰼魚,Xi-Xi Fish,Auspicious,Dont eat human,Fish,其中多鰼鰼之魚，其狀如鵲而十翼，鱗皆在羽端，其音如鵲，可以禦火，食之不癉。其上多松柏，其下多椶枏，其獸多麢羊，其鳥多蕃。,It's a fish with a different name in the legend. It looks like a magpie but has ten wings. Its scales grow at the tip of its feathers and its voice sounds like a magpie.,xixiyu.jpg
商羊,Shang Goat,Auspicious,Dont eat human,Bird,此鸟名商羊，水祥也。昔有童儿屈其一足，振其两眉而跳，歌曰：‘天将大雨，商羊鼓舞。’,Shang Yang is a mythical beast in ancient myths and legends. Before the heavy rain comes  it will fly in the field with one foot bent.,shangyang.jpg
蠻蠻,Man-Man Bird,Evil,Dont eat human,Bird,崇吾之山，有鸟焉，其状如凫，而一翼一目，相得乃飞，名曰蛮蛮，见则天下大水。,"""Barbarians"" is also the proverbial parakeet. If two barbarians are not together  they cannot fly.",manman.jpg
鸓,Lei,Auspicious,Dont eat human,Bird,其鸟多鸓，其状如鹊，赤黑而两首四足，可以御火。,It's a kind of strange bird. It has two heads and four legs. It looks like a magpie. It's black all over. It's said that it can ward off fire.,lei2.jpg
酸與,Suan-Yu,Evil,Dont eat human,Terrestrial,有鸟焉，其状如蛇，而四翼、六目、三足，名曰酸与。其鸣自叫，见则其邑有恐。,There is also a big bird there. Its shape is like a snake  and it has four wings  six eyes and three legs. It is called Suan he. When he calls himself  his town will be worried.,suanyu.jpg
鴸,Zhu,Evil,Dont eat human,Bird,有鸟焉，其状如鸱而人手，其音如痹，其名曰鴸鸟，其名自号也，见则其县多放士。,There is also a big bird there  its shape is like a bird  the human hand  his voice is like Bi  his name is a bird  that is his name  see so many counties release people.,zhu.jpg
跂踵,Qi-Zhong Bird,Evil,Dont eat human,Bird,有鳥焉，其狀如鴞，而一足彘尾，其名曰跂踵，見則其國大疫。,There is a kind of bird in the mountain. Its shape is like an owl  while the other pig tail  whose name is heel heel  will have a great plague in this country.,jizhong.jpg
顒,Yong,Evil,Dont eat human,Bird,有鸟焉，其状如枭，人面四目而有耳，其名曰颙，其鸣自号也，见则天下大旱。,There is also a big bird there  its shape is like an owl  people have four eyes  his name is called him  his name is self proclaimed  there will be a drought in the world.,yong.jpg
鬿雀,Qi Sparrow,Evil,Do eat human,Bird,北号之山有鸟，状如鸡而白首，鼠足而虎爪，其名曰鬿雀。亦食人。,"""Tit"" is a kind of Ogre that eats people. Its body is like a chicken  its head is white  its feet are like mice  and it has tiger like claws. It uses this claw to catch people.",qique.jpg
畢方,Bi-Fang,Evil,Dont eat human,Bird,章莪之山，有鸟焉，其状如鹤，一足，赤文青质而白喙，名曰毕方，其鸣自叫也，见则其邑有讹火,There is also a big bird in the mountain of zhange. Its shape is like a crane. It has one foot  red  green  and white mouth. Its name is bi Fang. He called himself Bi Fang. When he saw it  there was wired fire in his town,bifang.jpg
天狗,Sky Dog,Evil,Do eat human,Terrestrial,阴山，有兽焉，其状如狸（郭璞曰：或作豹）而白首，名曰天狗，其音如榴榴（或作猫猫），可以御凶。,Yinshan Mountain  there is a kind of wild animal in the mountain. Its shape is like a cat with white head. Its name is Tiangou. Its music cat can fight against the fierce.,tiangou.jpg
鼓,Gu,Evil,Dont eat human,Bird,锺山，其子曰鼓，其状人面而龙身，是与钦鴀杀葆江于昆仑之阳，帝乃戮之锺山之东曰瑶崖，钦鴀化为大鹗，其状如雕而黑文白首，赤喙而虎爪，其音如晨鹄，见则有大兵；鼓亦化为鵕鸟，其状如鸱，赤足而直喙，黄文而白首，其音如鹄，见则其邑大旱。,Kunlun Mountain  his son is called drum  whose shape is the face of human and the body of dragon. It's the same as that when Qin Xuan killed Baojiang in the north of Kunlun Mountain  the emperor killed Yao cliff in the east of Kunlun Mountain  Qin Xuan became a big osprey  whose shape was like carving and black Wen old  red mouth  tiger's claws  his voice was like a swan in the morning  and when he saw it  there would be a big war; the drum also became a bird  its shape was like a bird  red foot  straight mouth  yellow article and white head  his voice was like a swan  and he saw that it was the great drought of his fiefdom.,gu.jpg
毒蛇龍,Viper Dragon,Auspicious,Dont eat human,Terrestrial,龙惊起，化为狮子，王即乘其上。龙怒，作雷声，腾空至城北二十里。王谓龙曰：“尔不降，当断尔头。”龙惧王神力，乃作人语曰：“勿杀我，我当与王乘，欲有所向，随心即至。”王许之。后常乘龙而行。,"I woke up and became a lion. The king rode on it. The dragon was angry and made a thunderous sound. He soared twenty miles north of the city. The king said to me  ""if you don't surrender  judge your head."" the dragon was afraid of the king's spiritual strength  so the author said  ""please don't kill me. Wang and I ride  and we should have a tendency. We will arrive with our hearts."" the king agreed. Later  he often rode on the dragon.",dushelong.jpg
陵魚,Ling Fish,Auspicious,Dont eat human,Aquatic,陵鱼人面，手足，鱼身，在海中。,Lingyu  a strange fish in the ancient legend  has the body of fish as well as the face  hands and feet. It's a half human and half fish. It lives and moves in the sea around the ligusheshan mountain. It's said that when Lingyu appears  there will be a storm.,lingyu.jpg
江豚,River Dophin,Evil,Dont eat human,Aquatic,江豚俗呼拜江猪状似防鼻中有声脑上有孔喷水直上出入波浪中见则有风无鳞黒色多脂膏以其脑中有井故又名井鱼人取江豚子系着水中母自来就而取之其子如鳢鱼子数万为羣随母而行,"The puffer fish is as big as a whale and covered with fine hairs. ""Puffer fish"" usually live in the Yangtze River  sometimes in the raging waves",jiangtun.jpg
魚頭,Fish Head,Evil,Dont eat human,Terrestrial,当是时，近者河中忽有物飞出，似一人与鱼合成之妖，其掌大如扇，臂短，足壮如柱。,At this time  a thing suddenly flew out of the river nearby. It seemed to be a monster composed of a man and a fish. Its palm was as big as a fan  its arms were short  and its legs were as strong as columns.,yutou.jpg
舟幽靈,Ship Ghost,Evil,Dont eat human,Aquatic,海南岛附近有一曰“鬼哭滩者怪处，人颇忌。行舟于海上时，浪顶有无发者百余尸竞来，言之无害于人，而舟人一遇此“舟幽”时，犹且频掷米与之。,"There is a strange place called ""ghost crying Beach"" near Hainan Island. People are very taboo. When boating on the sea  there will be more than 100 dead bodies at the top of the wave  which are said to be harmless to people. However  once the boatman meets this ""boat ghost""  he will continue to throw rice to them.",zhouyouling.jpg
蛇怪,Snake Demon,Evil,Dont eat human,Aquatic,此是一种长着蝠妖蛇翼之，栖于水中。若其发兑之声，水则水溢，附近之田则汪洋一片。,This is a snake shaped monster with bat wings  which lives in the water. Once it makes a shrill cry  the flood will flood and the nearby farmland will be flooded.,sheguai.jpg
鱉幽靈,Turtle Ghost,Auspicious,Dont eat human,Aquatic,“鳖幽”，状貌甚奇，上半身者，而下半身却是鳖。,"""Turtle ghost"" looks very strange. The upper part of the body is human  while the lower part is turtle.",bieyouling.jpg
狌狌,Sheng-Sheng,Auspicious,Dont eat human,Terrestrial,若黃狗，人面能言。,Looks like yellow dog  the human face can speak.,shengsheng.jpg
駁,Bo,Auspicious,Dont eat human,Terrestrial,中曲之山，有兽焉，其状如马而白身黑尾，一角，虎牙爪，音如鼓音，其名曰驳，是食虎豹，可以御兵。,There is a kind of wild animal in the middle of the zigzag mountain. Its shape is like a horse  black tail and white body  a corner  tiger's teeth and claws  and its voice is like a drum sound. His name is refutation. It's a weapon for eating tigers and leopards.,bo.jpg
蛊雕,Gu-Diao,Evil,Do eat human,Terrestrial,水有兽焉，名曰蛊雕，其状如雕而有角，其音如婴儿之音，是食人。,Gu Diao  also known as Zhuandiao  is a kind of bird like  non bird like  man eating monster. It looks like Diao  with long horns on its head and a cry like a baby. It is a monster in ancient Chinese mythology and legend.,gudiao.jpg
蠪侄,Long-Zhi,Evil,Do eat human,Terrestrial,有兽焉，其状如彘而有角，其音如号，名曰蠪蚳，食之不眯。,There is a wild animal in the mountain. Its shape is like a pig with horns. Its voice is like a trumpet. Its name is ant. Eat it will not fall asleep,longzhi.jpg
狍鴞,Roe deer owl,Auspicious,Dont eat human,Terrestrial,钩吾之山有兽焉，其状如羊身人面，其目在腋下，虎齿人爪，其音如婴儿，名曰狍鴞，是食人。,There is a kind of wild animal in the mountain that hooks me. Its shape is like sheep's body and human face. His eyes are under his armpit. His voice is like a baby. It's called roe deer and owl. It eats people.,paohao.jpg
